"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","Percentile"
"XLOC_010394","LVA_012355",5.91759,3.20441,-0.884952,0.0442,"Down",0.189801699716714
"XLOC_017058","LVA_020777",278.108,150.673,-0.884224,0.0392,"Down",0.186968838526912
"XLOC_019566","LVA_024043",5.29251,9.76697,0.883958,0.04685,"Up",0.18413597733711
"XLOC_000356","LVA_000415",10.2235,5.54344,-0.883031,0.04415,"Down",0.181303116147309
"XLOC_009584","LVA_011351",3.65611,6.72994,0.880285,0.0386,"Up",0.178470254957507
"XLOC_007737","LVA_009149",6.54719,3.56692,-0.876196,0.0258,"Down",0.175637393767705
"XLOC_000232","LVA_000274",7.65806,4.17657,-0.874661,0.0378,"Down",0.172804532577904
"XLOC_002253","LVA_002589",19.0905,10.428,-0.87239,0.04505,"Down",0.169971671388102
"XLOC_010869","LVA_012946",14.9503,8.16648,-0.872386,0.03665,"Down",0.1671388101983
"XLOC_004602","LVA_005353",12.2495,6.69133,-0.872355,0.0341,"Down",0.164305949008499
"XLOC_002860","LVA_003322",45.5859,24.9352,-0.870403,0.02735,"Down",0.161473087818697
"XLOC_021370","LVA_026534",118.289,215.429,0.864898,0.0257,"Up",0.158640226628895
"XLOC_017736","LVA_021670",22.01,40.0199,0.862559,0.04,"Up",0.155807365439093
"XLOC_016540","LVA_020122",472.851,260.125,-0.862181,0.04335,"Down",0.152974504249292
"XLOC_014983","LVA_018162",5.41041,2.97641,-0.862166,0.03485,"Down",0.15014164305949
"XLOC_006637","LVA_007810",7.91651,14.3806,0.861185,0.05005,"Up",0.147308781869688
"XLOC_007422","LVA_008784",3.86022,6.99342,0.857314,0.04725,"Up",0.144475920679887
"XLOC_010534","LVA_012523",14.721,8.14614,-0.853689,0.03135,"Down",0.141643059490085
"XLOC_005122","LVA_005973",34.7517,19.2406,-0.852931,0.0202,"Down",0.138810198300283
"XLOC_014595","LVA_017644",6.82692,3.78812,-0.849755,0.03165,"Down",0.135977337110482
"XLOC_021901","LVA_027326",51.4335,28.5472,-0.849359,0.03235,"Down",0.13314447592068
"XLOC_000534","LVA_000608",4.49608,8.09563,0.848477,0.0464,"Up",0.130311614730878
"XLOC_000869","LVA_001036",11.5591,20.8067,0.848028,0.0347,"Up",0.127478753541076
"XLOC_010604","LVA_012615",21.093,37.8632,0.844031,0.037,"Up",0.124645892351275
"XLOC_017384","LVA_021233",172.604,308.663,0.838566,0.02245,"Up",0.121813031161473
"XLOC_003656","LVA_004261",11.0886,6.20194,-0.838286,0.0473,"Down",0.118980169971671
"XLOC_020379","LVA_025155",9.56473,5.35971,-0.835569,0.03335,"Down",0.11614730878187
"XLOC_009572","LVA_011337",476.613,848.94,0.832845,0.02475,"Up",0.113314447592068
"XLOC_008458","LVA_010007",41.0827,23.0704,-0.832489,0.0292,"Down",0.110481586402266
"XLOC_014331","LVA_017336",6.74631,3.7899,-0.831937,0.04345,"Down",0.107648725212465
"XLOC_006459","LVA_007580",20.9558,11.7985,-0.828742,0.0297,"Down",0.104815864022663
"XLOC_005677","LVA_006654",8.03488,14.2525,0.826863,0.0448,"Up",0.101983002832861
"XLOC_000146","LVA_000146",9.74053,5.50156,-0.824159,0.03545,"Down",0.0991501416430595
"XLOC_004636","LVA_005401",2.37727,1.34306,-0.823782,0.0443,"Down",0.0963172804532578
"XLOC_018964","LVA_023252",224.346,396.894,0.82303,0.03645,"Up",0.0934844192634561
"XLOC_000390","LVA_000451",16.5738,9.38625,-0.820287,0.0469,"Down",0.0906515580736544
"XLOC_004012","LVA_004661",6.29486,3.57613,-0.815777,0.0372,"Down",0.0878186968838527
"XLOC_005577","LVA_006525",5.42132,3.07991,-0.815757,0.03615,"Down",0.084985835694051
"XLOC_019588","LVA_024069",25.9831,14.7706,-0.814847,0.0383,"Down",0.0821529745042493
"XLOC_010265","LVA_012197",13.2165,7.528,-0.812002,0.02825,"Down",0.0793201133144476
"XLOC_020738","LVA_025630",704.057,1234.58,0.810256,0.02835,"Up",0.0764872521246459
"XLOC_010796","LVA_012857",9.00526,5.13632,-0.810031,0.03915,"Down",0.0736543909348442
"XLOC_000956","LVA_001130",178.123,312.013,0.808729,0.0371,"Up",0.0708215297450425
"XLOC_002652","LVA_003093",9.62679,5.49868,-0.80797,0.0474,"Down",0.0679886685552408
"XLOC_002436","LVA_002812",7.14349,4.08303,-0.806988,0.0422,"Down",0.0651558073654391
"XLOC_007648","LVA_009057",47.1851,82.4154,0.804582,0.04125,"Up",0.0623229461756374
"XLOC_013547","LVA_016341",30.0965,52.511,0.803021,0.04285,"Up",0.0594900849858357
"XLOC_020771","LVA_025688",7.4185,4.26314,-0.799211,0.0452,"Down",0.056657223796034
"XLOC_003439","LVA_003997",584.134,1014.84,0.796875,0.03885,"Up",0.0538243626062323
"XLOC_011836","LVA_014179",627.657,1088.46,0.79424,0.0324,"Up",0.0509915014164306
"XLOC_012572","LVA_015118",145.34,250.509,0.785427,0.03455,"Up",0.0481586402266289
"XLOC_015640","LVA_018973",85.6689,147.624,0.785086,0.0383,"Up",0.0453257790368272
"XLOC_015367","LVA_018632",26.3776,15.3391,-0.7821,0.03825,"Down",0.0424929178470255
"XLOC_013505","LVA_016293",146.305,251.541,0.781818,0.04005,"Up",0.0396600566572238
"XLOC_011329","LVA_013517",29.7708,17.3439,-0.779472,0.0454,"Down",0.0368271954674221
"XLOC_018885","LVA_023135",28.2275,16.4668,-0.777542,0.04185,"Down",0.0339943342776204
"XLOC_002208","LVA_002536",22.4745,13.1393,-0.7744,0.0462,"Down",0.0311614730878187
"XLOC_006557","LVA_007707",27.669,47.2734,0.772756,0.0395,"Up",0.028328611898017
"XLOC_013414","LVA_016199",37.5585,64.0168,0.769309,0.0402,"Up",0.0254957507082153
"XLOC_009126","LVA_010803",187.445,319.106,0.767572,0.04195,"Up",0.0226628895184136
"XLOC_010677","LVA_012701",45.646,77.6534,0.766562,0.043,"Up",0.0198300283286119
"XLOC_017288","LVA_021092",7045.93,11919.1,0.758409,0.04265,"Up",0.0169971671388102
"XLOC_006127","LVA_007184",13.2919,22.4705,0.757489,0.04665,"Up",0.0141643059490085
"XLOC_019702","LVA_024230",77.3558,130.339,0.75269,0.0425,"Up",0.0113314447592068
"XLOC_014608","LVA_017663",90.2658,151.231,0.744498,0.0498,"Up",0.0084985835694051
"XLOC_016235","LVA_019734",72.4562,43.9721,-0.72052,0.0477,"Down",0.0056657223796034
"XLOC_002310","LVA_002669",24.1937,14.7024,-0.718581,0.0476,"Down",0.0028328611898017
"XLOC_019937","LVA_024561",49.4343,30.0731,-0.71704,0.0489,"Down",0
