"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","isTarget","Common.Name","Biological.Process","IPR"
"XLOC_000146","LVA_000146",9.74053,5.50156,-0.824159,0.03545,"Down"," ",NA,NA,NA
"XLOC_018964","LVA_023252",224.346,396.894,0.82303,0.03645,"Up"," ",NA,NA,NA
"XLOC_000390","LVA_000451",16.5738,9.38625,-0.820287,0.0469,"Down"," ",NA,NA,NA
"XLOC_004012","LVA_004661",6.29486,3.57613,-0.815777,0.0372,"Down"," ",NA,NA,NA
"XLOC_005577","LVA_006525",5.42132,3.07991,-0.815757,0.03615,"Down"," ",NA,NA,NA
"XLOC_019588","LVA_024069",25.9831,14.7706,-0.814847,0.0383,"Down"," ",NA,NA,NA
"XLOC_010265","LVA_012197",13.2165,7.528,-0.812002,0.02825,"Down"," ",NA,NA,NA
"XLOC_020738","LVA_025630",704.057,1234.58,0.810256,0.02835,"Up"," ",NA,NA,NA
"XLOC_010796","LVA_012857",9.00526,5.13632,-0.810031,0.03915,"Down"," ",NA,NA,NA
"XLOC_000956","LVA_001130",178.123,312.013,0.808729,0.0371,"Up"," ",NA,NA,NA
"XLOC_002652","LVA_003093",9.62679,5.49868,-0.80797,0.0474,"Down"," ",NA,NA,NA
"XLOC_002436","LVA_002812",7.14349,4.08303,-0.806988,0.0422,"Down"," ",NA,NA,NA
"XLOC_007648","LVA_009057",47.1851,82.4154,0.804582,0.04125,"Up"," ",NA,NA,NA
"XLOC_013547","LVA_016341",30.0965,52.511,0.803021,0.04285,"Up"," ",NA,NA,NA
"XLOC_020771","LVA_025688",7.4185,4.26314,-0.799211,0.0452,"Down"," ",NA,NA,NA
"XLOC_003439","LVA_003997",584.134,1014.84,0.796875,0.03885,"Up"," ",NA,NA,NA
"XLOC_011836","LVA_014179",627.657,1088.46,0.79424,0.0324,"Up"," ",NA,NA,NA
"XLOC_012572","LVA_015118",145.34,250.509,0.785427,0.03455,"Up"," ",NA,NA,NA
"XLOC_015640","LVA_018973",85.6689,147.624,0.785086,0.0383,"Up"," ",NA,NA,NA
"XLOC_015367","LVA_018632",26.3776,15.3391,-0.7821,0.03825,"Down"," ",NA,NA,NA
"XLOC_013505","LVA_016293",146.305,251.541,0.781818,0.04005,"Up"," ",NA,NA,NA
"XLOC_011329","LVA_013517",29.7708,17.3439,-0.779472,0.0454,"Down"," ",NA,NA,NA
"XLOC_018885","LVA_023135",28.2275,16.4668,-0.777542,0.04185,"Down"," ",NA,NA,NA
"XLOC_002208","LVA_002536",22.4745,13.1393,-0.7744,0.0462,"Down"," ",NA,NA,NA
"XLOC_006557","LVA_007707",27.669,47.2734,0.772756,0.0395,"Up"," ",NA,NA,NA
"XLOC_013414","LVA_016199",37.5585,64.0168,0.769309,0.0402,"Up"," ",NA,NA,NA
"XLOC_009126","LVA_010803",187.445,319.106,0.767572,0.04195,"Up"," ",NA,NA,NA
"XLOC_010677","LVA_012701",45.646,77.6534,0.766562,0.043,"Up"," ",NA,NA,NA
"XLOC_017288","LVA_021092",7045.93,11919.1,0.758409,0.04265,"Up"," ",NA,NA,NA
"XLOC_006127","LVA_007184",13.2919,22.4705,0.757489,0.04665,"Up"," ",NA,NA,NA
"XLOC_019702","LVA_024230",77.3558,130.339,0.75269,0.0425,"Up"," ",NA,NA,NA
"XLOC_014608","LVA_017663",90.2658,151.231,0.744498,0.0498,"Up"," ",NA,NA,NA
"XLOC_016235","LVA_019734",72.4562,43.9721,-0.72052,0.0477,"Down"," ",NA,NA,NA
"XLOC_002310","LVA_002669",24.1937,14.7024,-0.718581,0.0476,"Down"," ",NA,NA,NA
"XLOC_019937","LVA_024561",49.4343,30.0731,-0.71704,0.0489,"Down"," ",NA,NA,NA
